Image_No,Similarity_Score
68,0.4518382176756859
54,0.4517643004655838
464,0.45107536017894745
60,0.4505395069718361
190,0.4503176361322403
323,0.44892121478915215
281,0.44803890213370323
47,0.44631435722112656
367,0.445729598402977
437,0.4444536603987217
460,0.44428806751966476
75,0.4441762939095497
41,0.4436367526650429
481,0.4410828649997711
336,0.44038813188672066
170,0.43750573322176933
544,0.4374978318810463
432,0.4374225214123726
392,0.43739549815654755
551,0.4373811110854149
554,0.4369507059454918
487,0.4362539276480675
87,0.4356878250837326
376,0.4354933574795723
465,0.43333201110363007
62,0.42907285690307617
445,0.4280347153544426
284,0.42797044664621353
490,0.42753759026527405
183,0.4255736395716667
527,0.42437539994716644
495,0.4243134558200836
397,0.42352141439914703
456,0.4234715700149536
148,0.4232076108455658
492,0.4219619259238243
209,0.4216456487774849
166,0.42136911302804947
59,0.42134712636470795
488,0.4207892566919327
293,0.4195438101887703
523,0.419140987098217
6,0.4187300503253937
390,0.4176384136080742
497,0.4167378321290016
358,0.41668831557035446
105,0.41564497351646423
330,0.4153178557753563
198,0.41504141688346863
540,0.4149613678455353
436,0.41342470794916153
91,0.4133143126964569
305,0.41185031831264496
453,0.4107203334569931
538,0.41022250056266785
95,0.41010627150535583
288,0.40919772535562515
247,0.4067096710205078
350,0.4061928614974022
416,0.4053739830851555
275,0.40355002135038376
37,0.4023047983646393
348,0.40177203714847565
146,0.40068328380584717
404,0.4003337696194649
407,0.4001089483499527
24,0.3997313976287842
412,0.3967992290854454
221,0.39640048891305923
294,0.3963526636362076
26,0.39612773060798645
204,0.393961563706398
237,0.39241229742765427
505,0.39225976169109344
32,0.39217980206012726
516,0.39036675542593
444,0.38675469160079956
36,0.3859049677848816
395,0.3855418860912323
446,0.3851495683193207
383,0.3839834854006767
276,0.383500412106514
2,0.38343844562768936
77,0.3832462206482887
243,0.38172154873609543
435,0.38138827681541443
526,0.38033542037010193
197,0.3788214176893234
84,0.37761446833610535
406,0.3774830102920532
468,0.3765763118863106
162,0.3750474974513054
8,0.37478475272655487
144,0.3746867924928665
191,0.3741849809885025
277,0.37411218881607056
0,0.3739625960588455
227,0.37372346222400665
340,0.3724283277988434
